Opponent,Leg,Tot_Possession (%),OPP_Possession (%),Tot_Passing Acc (%),Tot_Passes Completed,Tot_Passes Attempted,OPP_Passing Acc (%),OPP_Passes Completed,OPP_Passes Attempted,Tot_Shots,Tot_Shots on Target,OPP_Shots,OPP_Shots on Target,Tot_Saves (%),Tot_Saves Made,Tot_Saves Faced,OPP_Saves (%),OPP_Saves Made,OPP_Saves Faced,Result,G_OP,G_TOT,xG,xGA,Possesion
AZ Alkmaar,Leg 1,61,39,87,534,614,74,289,391,7,1,12,3,100,3,3,100,1,1,L,1,0,0.5,1.6,61
AZ Alkmaar,Leg 2,59,41,82,468,573,75,293,393,17,4,10,2,50,1,2,25,1,4,W,1,3,2.1,1.2,59
Eint Frankfurt,Leg 1,56,44,86,491,573,79,358,452,10,6,4,2,50,1,2,83,5,6,D,1,1,0.9,0.3,56
Eint Frankfurt,Leg 2,39,61,75,289,386,82,494,604,11,2,14,5,100,5,5,100,2,2,W,0,1,1.5,0.9,39
Bodø/Glimt,Leg 1,42,58,78,305,392,86,465,541,23,6,3,1,0,0,1,83,4,6,W,1,3,3,0.3,42
Bodø/Glimt,Leg 2,33,67,71,220,312,86,550,643,8,3,7,2,100,2,2,33,1,3,W,0,2,0.7,0.5,33
